cod;gram;cnt;s09;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24
_1(1);[player] [dist] Driving Dunk (cnt PTS);5259;42.59;48.78;275.36;281.19;245.05;250.19;11.44;22.8;25.21;468.75;507.62;489.06;429.55;426.3;451.52;445.05
_1(1);[player] Putback Dunk (cnt PTS);4386;448.67;394.05;95.35;114.53;124.05;119.79;421.82;458.21;465.24;12.2;18.29;20.12;207.51;204.84;212.88;159.34
_1(1);[player] [dist] Putback Dunk (cnt PTS);4156;59.32;49.54;393.59;355.68;347.03;318.42;3.81;6.84;12.99;435.21;352.9;363.08;157.98;167.04;195.45;173.99
_1(1);[player] [dist] Running Dunk (cnt PTS);3928;1.52;1.52;25.17;27.93;38.81;33.36;0.76;31.16;24.45;380.34;435.98;452.32;422.72;470.14;528.79;529.3
_1(1);[player] Driving Dunk (cnt PTS);3198;315.59;279.73;34.32;71.69;83.71;91.74;306.64;433.13;474.41;58.69;54.12;61.24;67.46;57.45;47.73;62.27
_1(1);[player] [dist] Dunk (cnt PTS);3194;48.67;55.64;385.2;371.51;334.86;325.25;6.1;3.04;7.64;253.81;176.83;147.86;134.93;108.09;120.45;124.54
_1(1);[player] Dunk (cnt PTS);3072;473.76;422.26;86.19;110.8;136.23;110.69;394.36;277.36;252.86;25.15;20.58;14.87;15.37;9.83;9.85;7.33
_1(1);[player] Tip Dunk Shot (cnt PTS);2666;NA;NA;NA;NA;NA;NA;NA;183.13;208.56;2.29;0.76;NA;430.4;461.07;550.76;562.27
_1(1);[player] [dist] Tip Dunk Shot (cnt PTS);1678;NA;NA;NA;NA;NA;NA;NA;4.56;4.58;227.9;504.57;534.56;18.79;26.46;20.45;18.32
_1(1);[player] Running Dunk (cnt PTS);1595;39.54;38.11;11.44;13.97;13.7;8.34;44.24;348.78;328.5;38.87;59.45;61.24;72.59;59.71;68.18;62.27
_1(1);[player] Slam Dunk (cnt PTS);1030;245.63;188.26;41.19;43.76;47.95;43.21;182.3;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(1);[player] [dist] Slam Dunk (cnt PTS);1023;48.67;48.02;199.08;186.22;156.77;172.1;1.53;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(1);[player] [dist] Driving Slam Dunk (cnt PTS);717;38.78;30.49;116.7;129.42;119.48;131.92;2.29;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(1);[player] Driving Slam Dunk (cnt PTS);680;110.27;106.71;20.59;29.8;35.01;40.94;180.02;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(1);[player] Putback Slam Dunk (cnt PTS);516;88.97;86.13;18.31;23.28;25.11;28.05;127.38;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(1);[player] [dist] Putback Slam Dunk (cnt PTS);480;22.05;15.24;87.72;102.42;82.19;72.78;1.53;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(1);[player] [dist] Reverse Dunk (cnt PTS);157;2.28;4.57;19.83;17.69;19.03;14.4;1.53;3.04;NA;6.1;10.67;4.37;7.69;6.05;4.55;5.49
_1(1);[player] Reverse Dunk (cnt PTS);149;23.57;20.58;4.58;7.45;5.33;3.79;17.54;12.16;10.7;0.76;1.52;0.87;0.85;1.51;3.03;1.83
_1(1);[player] Running Slam Dunk (cnt PTS);104;13.69;14.48;3.05;11.17;5.33;6.07;27.46;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(1);[player] [dist] Running Slam Dunk (cnt PTS);92;1.52;5.34;9.92;25.14;17.5;15.16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(1);[player] [dist] Driving Reverse Dunk Shot (cnt PTS);71;NA;NA;NA;NA;NA;NA;NA;NA;0.76;10.67;10.67;9.62;3.42;10.58;9.09;1.83
_1(1);[player] Reverse Slam Dunk (cnt PTS);70;20.53;12.2;2.29;2.79;3.04;5.31;7.63;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(1);[player] [dist] Reverse Slam Dunk (cnt PTS);67;3.8;1.52;14.49;7.45;12.94;12.13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(1);[player] Driving Reverse Dunk Shot (cnt PTS);42;NA;NA;NA;NA;NA;NA;NA;12.16;13.75;0.76;0.76;1.75;0.85;1.51;0.76;NA
_1(1);[player] [dist] Cutting Dunk Shot (cnt PTS);39;NA;NA;NA;NA;NA;NA;NA;0.76;NA;2.29;3.05;4.37;1.71;5.29;10.61;5.49
_1(1);[player] [dist] Running Reverse Dunk Shot (cnt PTS);37;NA;NA;NA;NA;NA;NA;NA;NA;0.76;5.34;4.57;7.87;0.85;5.29;2.27;5.49
_1(1);[player] Cutting Dunk Shot (cnt PTS);18;NA;NA;NA;NA;NA;NA;NA;2.28;4.58;NA;1.52;0.87;3.42;1.51;NA;NA
_1(1);[player] Running Reverse Dunk Shot (cnt PTS);17;NA;NA;NA;NA;NA;NA;NA;3.8;4.58;NA;0.76;0.87;NA;1.51;NA;3.66
_1(1);[player] Alley Oop Dunk (cnt PTS);7;3.04;2.29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(1);[player] [dist] Putback Reverse Dunk (cnt PTS);5;NA;NA;NA;0.93;0.76;2.27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
_1(1);[player] [dist] Alley Oop Dunk (cnt PTS);2;NA;0.76;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.85;NA;NA;NA
_1(1);[player] Running Alley Oop Dunk Shot (cnt PTS);1;NA;NA;NA;NA;NA;NA;NA;0.76;NA;NA;NA;NA;NA;NA;NA;NA
_1(1a);[player] [dist] Dunk (cnt PTS) ([player] cnt AST);19020;288.21;326.22;1860.41;1860.34;1969.56;1741.47;18.31;31.91;45.07;1322.41;1296.49;1149.61;912.04;989.42;890.15;849.82
_1(1a);[player] Dunk (cnt PTS) ([player] cnt AST);17393;2210.65;2133.38;501.14;589.39;734.4;605;2209;1922.49;1670.74;145.58;135.67;131.23;127.24;121.69;103.03;102.56
